id,event_id,event_type,event_dt,va_provider_name,va_engine_code,va_type_code,device_id,vehicle_make,vehicle_make_cfd,vehicle_model,vehicle_model_cfd,vehicle_colour,vehicle_colour_cfd,vehicle_class,vehicle_class_cfd,vehicle_angle,vehicle_angle_cfd,plate_number,plate_number_cfd,plate_colour,plate_colour_cfd,plate_colour_scheme,plate_vehicle_class,full_image_url,cropped_image_url,bbox_x1,bbox_y1,bbox_x2,bbox_y2,vap_object_id
600,f5836670-a3d8-4447-a622-983635c5b445,VEHICLE_ATTRIBUTE,2023-01-01 09:00:00,Sensetime,senseunity,VEHICLE,6a60ee81-b37e-17cd-f4b4-504b02340c1a,Tesla,0.95410705,model S,0.9991072,white,0.95388997,ST_CAR,0.99394405,ST_FRONT,0.97438943,SKQ6867G,0.9025161,,0,,,/2023/1/1/senseunity/full/f5836670-a3d8-4447-a622-983635c5b445,/2023/1/1/senseunity/cropped/f5836670-a3d8-4447-a622-983635c5b445,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
601,6c962f04-b05b-4652-b350-1095601caefe,VEHICLE_ATTRIBUTE,2023-01-01 09:00:03,Sensetime,senseunity,VEHICLE,2cd940e3-730f-c6b3-27c5-3e2f1ad9cfd7,Tesla,0.97523355,model S,0.97333694,white,0.99937904,ST_CAR,0.9270964,ST_FRONT,0.9866372,SKQ6867G,0.91126966,,0,,,/2023/1/1/senseunity/full/6c962f04-b05b-4652-b350-1095601caefe,/2023/1/1/senseunity/cropped/6c962f04-b05b-4652-b350-1095601caefe,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
602,c6d3df64-b6d1-4fe8-ab76-43cfa1eeed1f,VEHICLE_ATTRIBUTE,2023-01-01 09:00:06,Sensetime,senseunity,VEHICLE,6b1c9e96-db06-9a6e-ca3d-b7b5d6d7f4b7,Tesla,0.9016629,model S,0.9451048,white,0.9207718,ST_CAR,0.9146448,ST_FRONT,0.93680763,SKQ6867G,0.9617574,,0,,,/2023/1/1/senseunity/full/c6d3df64-b6d1-4fe8-ab76-43cfa1eeed1f,/2023/1/1/senseunity/cropped/c6d3df64-b6d1-4fe8-ab76-43cfa1eeed1f,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
603,eaca7c04-0715-4b04-8072-858e48280ea2,VEHICLE_ATTRIBUTE,2023-01-01 09:00:09,Sensetime,senseunity,VEHICLE,0593b913-3141-a93a-73b6-0c937a85f749,Tesla,0.9812695,model S,0.9876958,white,0.9098517,ST_CAR,0.9423015,ST_FRONT,0.9026879,SKQ6867G,0.9780492,,0,,,/2023/1/1/senseunity/full/eaca7c04-0715-4b04-8072-858e48280ea2,/2023/1/1/senseunity/cropped/eaca7c04-0715-4b04-8072-858e48280ea2,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
604,89772aac-10f2-409c-9afd-bd53320eec9f,VEHICLE_ATTRIBUTE,2023-01-01 09:00:12,Sensetime,senseunity,VEHICLE,d28bce6a-3c38-330c-3c6c-51e217bd9392,Tesla,0.9268658,model S,0.98688394,white,0.9527574,ST_CAR,0.9307294,ST_FRONT,0.93067026,SKQ6867G,0.953124,,0,,,/2023/1/1/senseunity/full/89772aac-10f2-409c-9afd-bd53320eec9f,/2023/1/1/senseunity/cropped/89772aac-10f2-409c-9afd-bd53320eec9f,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
605,49ee3dc4-aef5-49bb-8d1e-1a5e319944e0,VEHICLE_ATTRIBUTE,2023-01-01 09:00:15,Sensetime,senseunity,VEHICLE,8b697513-7450-e694-47b1-6d12fa86d503,Tesla,0.9452676,model S,0.9512347,white,0.9320248,ST_CAR,0.91827655,ST_FRONT,0.93942666,SKQ6867G,0.90846986,,0,,,/2023/1/1/senseunity/full/49ee3dc4-aef5-49bb-8d1e-1a5e319944e0,/2023/1/1/senseunity/cropped/49ee3dc4-aef5-49bb-8d1e-1a5e319944e0,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
606,057a4129-474f-45a2-bb2e-a837b1d0a3eb,VEHICLE_ATTRIBUTE,2023-01-01 11:00:00,Sensetime,senseunity,VEHICLE,8b697513-7450-e694-47b1-6d12fa86d503,Tesla,0.9343084,model S,0.93758756,white,0.9533368,ST_CAR,0.91827255,ST_FRONT,0.92460567,SKQ6867G,0.9148603,,0,,,/2023/1/1/senseunity/full/057a4129-474f-45a2-bb2e-a837b1d0a3eb,/2023/1/1/senseunity/cropped/057a4129-474f-45a2-bb2e-a837b1d0a3eb,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
607,389f6dbb-6783-4ff1-9be6-8f3011f6c377,VEHICLE_ATTRIBUTE,2023-01-01 11:00:03,Sensetime,senseunity,VEHICLE,d28bce6a-3c38-330c-3c6c-51e217bd9392,Tesla,0.9595821,model S,0.9978863,white,0.9467531,ST_CAR,0.90826976,ST_FRONT,0.9013968,SKQ6867G,0.97395504,,0,,,/2023/1/1/senseunity/full/389f6dbb-6783-4ff1-9be6-8f3011f6c377,/2023/1/1/senseunity/cropped/389f6dbb-6783-4ff1-9be6-8f3011f6c377,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
608,bd75ff4f-ccf1-4ab8-b510-5498c640ccff,VEHICLE_ATTRIBUTE,2023-01-01 11:00:06,Sensetime,senseunity,VEHICLE,0593b913-3141-a93a-73b6-0c937a85f749,Tesla,0.93726337,model S,0.91860116,white,0.95399815,ST_CAR,0.92071366,ST_FRONT,0.98006505,SKQ6867G,0.91222906,,0,,,/2023/1/1/senseunity/full/bd75ff4f-ccf1-4ab8-b510-5498c640ccff,/2023/1/1/senseunity/cropped/bd75ff4f-ccf1-4ab8-b510-5498c640ccff,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
609,68c5d795-7074-40b7-8efd-2e86cd074272,VEHICLE_ATTRIBUTE,2023-01-01 11:00:09,Sensetime,senseunity,VEHICLE,6b1c9e96-db06-9a6e-ca3d-b7b5d6d7f4b7,Tesla,0.92009616,model S,0.9188815,white,0.9502702,ST_CAR,0.9972968,ST_FRONT,0.96280694,SKQ6867G,0.9800397,,0,,,/2023/1/1/senseunity/full/68c5d795-7074-40b7-8efd-2e86cd074272,/2023/1/1/senseunity/cropped/68c5d795-7074-40b7-8efd-2e86cd074272,886,276,1093,739,d1460d64-df00-46b4-936d-75c8e3f4dc59
